Code,Foods,Synonyms,energy,water,protein,fat,carbohydr.,dietary fiber,minerals,org. acids,alcohol,Vit. A,retinol,carotene,Vit. D,Vit. E (eq.),Vit. E,Vit. K,Vit. B1,Vit. B2,niacine,niacineequiv.,pantoth. acid,Vit. B6,biotine,folic acid eq.,tot. fol.acid,free fol.acid,Vit. B12,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,sulfur,chlorine,iron,zinc,copper,manganese,fluorine,iodine,mannit,sorbit,xylit
ZIN0001,kemiri,,"     1155,000",,"       22,400","        4,400","       51,700","       10,300",,,,"     2334,000","        0,000",,"        0,000","        2,000",,,"        0,170","        1,230","        7,900",,"        1,600","        1,000",,,"      608,000",,"        0,000","      122,000","      452,000","     3805,000","     1468,000","      249,000","      351,000",,,"       97,900","        4,800","        0,640","       10,500",,,,,
ZIN0002,adonan tepung beras,,"      544,000",,"        2,400","        0,200","       28,600","        0,300",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,020","        0,020","        0,400",,"        0,410","        0,050",,,"        2,000",,"        0,000","        0,000","        0,000","       29,000","        3,000","       13,000","       37,000",,,"        0,200","        0,400","        0,040","        0,380",,,,,
ZIN0003,adonan tepung tapioka,,"     1594,000",,"        0,300","        0,100","       91,300","        0,900",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,000","        0,000","        0,000",,"        0,000","        0,000",,,"        0,000",,"        0,000","        0,000","        9,000","        3,000","        2,000","        3,000","       13,000",,,"        0,500","        0,100","        0,050","        0,050",,,,,
ZIN0004,adonan tepung terigu,,"     1523,000",,"       10,300","        1,000","       76,300","        2,700",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,100","        0,040","        1,100",,"        0,390","        0,040",,,"       18,000",,"        0,000","        0,000","        2,000","      107,000","       15,000","       22,000","      108,000",,,"        1,200","        0,700","        0,140","        0,680",,,,,
ZIN0005,beras ketan hitam,,"     1510,000",,"        6,700","        0,600","       79,500","        0,800",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,060","        0,060","        1,100",,"        1,140","        0,140",,,"        6,000",,"        0,000","        0,000","        0,000","       81,000","        8,000","       36,000","      103,000",,,"        0,600","        1,100","        0,110","        1,060",,,,,
ZIN0006,beras ketan putih giling,,"     1510,000",,"        6,700","        0,600","       79,500","        0,800",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,060","        0,060","        1,100",,"        1,140","        0,140",,,"        6,000",,"        0,000","        0,000","        0,000","       81,000","        8,000","       36,000","      103,000",,,"        0,600","        1,100","        0,110","        1,060",,,,,
ZIN0007,beras ketan putih tumbuk,,"     1510,000",,"        6,700","        0,600","       79,500","        0,800",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,060","        0,060","        1,100",,"        1,140","        0,140",,,"        6,000",,"        0,000","        0,000","        0,000","       81,000","        8,000","       36,000","      103,000",,,"        0,600","        1,100","        0,110","        1,060",,,,,
ZIN0008,beras merah + beras pth campur,,"     1418,000",,"        6,600","        1,400","       72,900","        2,800",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,170","        0,040","        2,400",,"        1,120","        0,280",,,"        9,000",,"        0,000","        0,000","        1,000","      152,000","       18,000","       80,000","      160,000",,,"        1,000","        1,400","        0,170","        2,070",,,,,
ZIN0009,beras merah giling,,"     1498,000",,"        7,400","        2,600","       75,200","        5,400",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,320","        0,030","        4,200",,"        1,250","        0,480",,,"       13,000",,"        0,000","        0,000","        3,000","      253,000","       32,000","      141,000","      246,000",,,"        1,600","        1,900","        0,260","        3,520",,,,,
ZIN0010,beras merah tumbuk,,"     1498,000",,"        7,400","        2,600","       75,200","        5,400",,,,"        0,000","        0,000",,"        0,000","        0,000",,,"        0,320","        0,030","        4,200",,"        1,250","        0,480",,,"       13,000",,"        0,000","        0,000","        3,000","      253,000","       32,000","      141,000","      246,000",,,"        1,600","        1,900","        0,260","        3,520",,,,,
